# {"t_start": 1601364204.6875687, "env_id": "BeamRiderNoFrameskip-v4"} 
r,l,t
352.0,1110,60.063562
132.0,1323,131.376349
572.0,1241,203.241579
616.0,1607,301.094519
176.0,903,346.464947
264.0,1184,421.697448
708.0,1925,529.467569
352.0,999,580.710955
396.0,1158,644.251853
308.0,889,693.416965
220.0,945,749.690619
440.0,953,798.947126
440.0,1458,877.346114
660.0,1649,972.519842
264.0,957,1028.649512
660.0,1853,1130.49894
352.0,1132,1193.890662
352.0,916,1243.957553
264.0,1229,1317.123369
264.0,847,1366.053284
484.0,1114,1429.18269
616.0,1230,1501.365659
708.0,1868,1607.152689
264.0,834,1650.883854
572.0,1594,1737.671834
804.0,1734,1837.456985
396.0,1286,1909.250501
660.0,1606,1995.974412
528.0,1464,2081.639364
660.0,1991,2186.611207
1236.0,2216,2315.802072
660.0,1755,2407.167464
948.0,1547,2492.59353
484.0,1146,2555.818422
660.0,1169,2620.981222
852.0,2552,2763.05027
660.0,1306,2834.599685
440.0,1177,2898.617482
352.0,1252,2968.231085
528.0,1281,3041.839644
308.0,1007,3098.750212
572.0,1231,3164.511702
616.0,1205,3234.95467
308.0,801,3278.276328
572.0,1286,3350.331338
484.0,1374,3431.758021
352.0,1363,3503.419021
528.0,1359,3579.919959
528.0,1180,3644.852112
396.0,1053,3701.548098
352.0,1159,3763.64591
572.0,1167,3828.481458
440.0,1164,3892.458843
396.0,1212,3964.240291
616.0,1464,4044.275231
396.0,1304,4119.521751
660.0,1709,4218.653712
396.0,800,4263.244071
396.0,1157,4327.178627
440.0,1065,4389.713525
440.0,1103,4446.808556
528.0,1377,4525.643208
440.0,1266,4596.554309
852.0,1962,4707.062286
308.0,1114,4770.385348
440.0,1401,4850.767399
528.0,1241,4917.102679
804.0,2059,5032.577424
352.0,1334,5110.721913
440.0,1266,5176.411962
440.0,928,5232.135168
948.0,2546,5369.788851
572.0,1014,5425.087034
396.0,1431,5503.143853
396.0,1311,5580.566388
352.0,1330,5651.554142
264.0,863,5702.170841
528.0,1198,5765.176605
308.0,1186,5829.56707
660.0,1919,5939.003557
616.0,1763,6038.566511
572.0,1417,6117.821063
660.0,1490,6195.358106
308.0,1087,6258.811017
352.0,971,6309.342679
900.0,1847,6415.319643
572.0,1237,6481.923706
660.0,1741,6584.00294
660.0,1482,6663.647398
528.0,1366,6742.326758
708.0,1650,6833.122143
804.0,2527,6969.096565
572.0,1559,7059.220729
660.0,1936,7168.147764
660.0,1924,7275.039009
528.0,1258,7339.444849
572.0,1427,7417.013214
660.0,1568,7510.088881
572.0,1338,7581.479658
900.0,1522,7666.704102
484.0,1148,7729.590426
396.0,1173,7795.711597
660.0,1324,7867.910271
996.0,2482,8001.271195
396.0,1322,8077.77812
660.0,1714,8172.623651
660.0,1999,8284.876664
484.0,838,8328.383538
396.0,1108,8392.977309
1332.0,2537,8536.241828
660.0,1963,8647.926566
528.0,1671,8738.555672
1284.0,2028,8846.923607
804.0,1775,8946.522018
756.0,1887,9051.774506
660.0,1894,9159.800586
440.0,1287,9231.237607
948.0,2096,9343.767355
484.0,1195,9408.965735
484.0,1524,9494.080646
308.0,825,9537.495238
756.0,2118,9658.214778
396.0,1299,9728.587485
572.0,1553,9820.058379
440.0,1161,9883.338215
804.0,1543,9967.720129
660.0,1714,10065.240626
1044.0,2260,10191.253255
396.0,1071,10247.174734
1092.0,2016,10359.833727
484.0,1452,10436.37179
528.0,1300,10507.563393
352.0,1003,10564.770728
528.0,1408,10646.978262
900.0,1491,10730.630154
948.0,2007,10837.444394
660.0,1695,10937.384974
948.0,2071,11048.892989
660.0,1670,11140.421926
660.0,1351,11214.178906
660.0,1160,11286.908902
1044.0,1994,11405.621427
900.0,2357,11529.951306
660.0,1466,11606.795977
852.0,1962,11714.799142
308.0,955,11763.519789
1092.0,1923,11869.976059
1188.0,2059,11982.093589
1092.0,2017,12093.703682
660.0,1604,12176.379135
1236.0,2076,12286.589877
852.0,1645,12376.754753
804.0,1336,12447.241351
660.0,1766,12545.194287
660.0,1310,12614.428716
616.0,1382,12690.334798
1284.0,1840,12786.425791
616.0,1164,12855.116872
900.0,1762,12952.172711
1140.0,2097,13065.264634
484.0,1028,13122.037112
660.0,1382,13199.248857
948.0,1692,13287.915347
900.0,1453,13368.445059
1380.0,2175,13485.921948
616.0,1671,13574.968167
900.0,1374,13643.624339
660.0,1227,13712.866854
900.0,1464,13788.9204
996.0,1471,13869.821578
352.0,943,13917.139635
1140.0,2374,14042.275007
440.0,1160,14105.163053
572.0,1213,14173.320935
616.0,1258,14243.036799
616.0,1342,14312.965344
660.0,1638,14401.850093
660.0,1205,14463.008653
