# {"t_start": 1601341091.3340573, "env_id": "ZaxxonNoFrameskip-v4"} 
r,l,t
0.0,878,49.684298
0.0,883,103.518176
0.0,882,157.857509
0.0,885,210.747826
0.0,879,257.345192
0.0,878,310.912319
0.0,882,364.352696
0.0,878,417.606914
0.0,882,465.992029
0.0,884,519.556337
0.0,882,572.694274
0.0,878,625.349431
0.0,882,678.850251
0.0,884,725.119664
0.0,883,777.453492
0.0,879,831.256415
0.0,883,884.071229
0.0,885,932.474249
0.0,879,986.277524
0.0,882,1040.502
0.0,879,1094.066892
2000.0,1510,1179.169735
0.0,885,1232.599375
0.0,878,1286.10415
0.0,884,1338.56212
0.0,881,1390.5956
0.0,881,1438.229158
0.0,883,1491.923213
0.0,880,1545.018337
0.0,881,1598.495591
0.0,882,1645.408552
0.0,881,1699.535993
0.0,881,1752.979335
0.0,878,1805.523013
0.0,881,1857.840906
0.0,881,1904.452049
0.0,882,1957.767087
0.0,881,2011.173371
0.0,881,2064.300136
0.0,884,2111.408318
0.0,882,2164.13411
0.0,883,2218.378081
0.0,878,2271.986666
0.0,883,2325.938344
0.0,881,2373.56794
0.0,884,2427.354171
0.0,882,2480.549351
0.0,883,2534.395838
0.0,878,2581.361251
0.0,879,2634.138413
0.0,884,2686.481442
0.0,882,2739.527035
0.0,881,2793.391136
0.0,880,2839.763813
0.0,878,2892.531804
0.0,883,2944.926504
0.0,879,2998.417182
0.0,884,3045.147762
0.0,881,3098.247287
0.0,879,3151.551438
0.0,884,3204.847955
0.0,879,3258.276933
0.0,881,3305.114036
0.0,880,3358.535218
0.0,880,3412.746983
0.0,885,3465.984202
0.0,884,3513.573192
0.0,885,3567.357015
0.0,881,3620.717519
0.0,883,3674.332018
0.0,885,3727.250098
0.0,882,3774.183459
0.0,883,3827.506368
0.0,880,3881.024144
0.0,878,3934.268519
0.0,881,3980.70126
0.0,885,4034.184108
0.0,880,4087.859046
0.0,885,4141.321791
0.0,878,4195.440705
0.0,878,4243.547604
0.0,879,4297.45816
0.0,885,4351.648552
0.0,880,4405.472038
0.0,885,4453.62713
0.0,885,4506.701613
0.0,880,4560.820988
0.0,879,4613.654825
0.0,879,4667.023034
0.0,881,4714.004572
0.0,881,4768.729868
0.0,879,4823.844107
0.0,881,4877.644044
0.0,879,4926.416268
0.0,883,4980.618819
0.0,884,5034.836313
0.0,880,5088.773217
0.0,879,5137.065993
0.0,884,5190.852514
0.0,882,5245.252608
0.0,881,5299.555434
0.0,883,5354.509562
0.0,883,5402.179089
0.0,884,5456.754435
0.0,884,5511.176929
0.0,879,5565.050536
0.0,881,5618.057497
0.0,885,5665.794453
0.0,882,5719.337884
0.0,880,5773.881411
0.0,882,5828.244926
0.0,885,5875.231618
0.0,884,5929.614889
0.0,882,5984.294129
200.0,888,6038.734601
0.0,883,6092.943109
0.0,885,6140.70552
0.0,884,6194.905715
0.0,884,6249.187248
0.0,883,6303.525838
0.0,881,6357.381163
1000.0,1227,6427.169322
0.0,971,6487.909979
0.0,881,6535.152347
0.0,882,6589.177276
0.0,881,6642.172476
0.0,881,6695.85605
0.0,880,6743.161948
0.0,885,6796.946473
0.0,883,6850.569717
0.0,881,6904.328403
0.0,878,6957.348344
0.0,880,7005.040206
0.0,882,7058.756177
0.0,884,7111.624556
0.0,881,7164.823272
200.0,953,7218.064835
0.0,1507,7309.287156
0.0,883,7357.145361
0.0,881,7410.170288
0.0,878,7463.506714
0.0,878,7516.987572
3300.0,2131,7641.826997
0.0,885,7695.283778
0.0,878,7749.203756
800.0,1311,7826.807505
0.0,878,7880.628633
500.0,1331,7958.086886
0.0,881,8011.031504
300.0,1363,8088.894539
0.0,884,8142.039147
0.0,878,8194.923777
0.0,973,8249.532771
0.0,883,8302.938131
0.0,881,8355.848386
0.0,882,8409.480295
0.0,884,8463.604169
0.0,878,8511.067104
0.0,879,8564.661181
0.0,879,8616.955329
0.0,879,8671.064589
0.0,878,8718.703462
0.0,885,8772.230721
0.0,882,8825.989723
0.0,881,8879.449962
0.0,883,8927.053844
0.0,879,8980.6034
0.0,882,9033.966703
0.0,878,9087.126435
0.0,880,9135.578579
0.0,880,9189.205044
0.0,879,9242.340767
0.0,878,9295.251833
0.0,879,9347.547527
0.0,884,9395.555834
0.0,881,9448.888872
0.0,882,9501.917026
0.0,882,9555.409441
0.0,884,9602.739094
0.0,884,9655.566408
0.0,881,9710.012259
0.0,885,9763.767278
0.0,879,9817.315093
0.0,878,9864.846712
0.0,883,9918.537626
0.0,882,9972.329534
0.0,884,10025.490112
0.0,885,10073.671087
0.0,880,10125.992867
300.0,883,10179.785871
0.0,880,10233.293756
0.0,884,10287.340288
0.0,879,10334.99447
0.0,884,10388.276306
0.0,879,10441.897526
0.0,878,10495.892054
0.0,880,10542.665156
0.0,879,10596.187301
0.0,882,10649.553272
0.0,882,10702.669083
0.0,878,10755.863025
0.0,883,10802.628282
0.0,882,10856.768499
0.0,878,10909.836154
0.0,878,10962.828891
0.0,881,11010.205512
